dataset,model_classifier,n_layers,friedman_statistics,friedman_p_value,f1_mpnet,f1_matryoshka,f1_nomic,friedman_p_value_fixed,friedman_shows_diff,nemenyi_mpnet_matryoska_p_value,nemenyi_mpnet_nomic_p_value,nemenyi_matryoska_nomic_p_value,nemenyi_mpnet_matryoska_shows_diff,nemenyi_mpnet_nomic_shows_diff,nemenyi_matryoska_nomic_shows_diff
chatgpt_easy,singlerotx,1.0,46.866666666666674,6.653231587252554e-11,0.7721412041195513,0.7245499727501783,0.7829841195270463,2.9939542142636494e-09,True,1.8560283159718693e-05,0.0720640364082159,5.712730288820467e-11,True,False,True
chatgpt_easy,singlerotx,10.0,31.389830508474585,1.5268097025884645e-07,0.7416512850304735,0.7204741052612508,0.7787523048932375,4.427748137506547e-06,True,0.026564420863741223,0.008390799625534018,8.499240777837258e-08,True,True,True
chatgpt_easy,singleroty,1.0,43.39999999999998,3.765388073611399e-10,0.7488922586922926,0.8975780291552158,0.9091274727696664,1.551541943405166e-08,True,1.4305861439911638e-06,1.7285269882094667e-09,0.4760623690106066,True,True,False
chatgpt_easy,singleroty,10.0,31.321739130434764,1.5796859883569724e-07,0.7917148815965908,0.873540060098471,0.8827956108413186,4.427748137506547e-06,True,7.318857338844964e-06,5.323434315029907e-06,0.99770545300295,True,True,False
chatgpt_easy,singlerotz,1.0,55.52542372881353,8.766120467751174e-13,0.6222699561005964,0.5678905066709973,0.3310524824096039,4.207737824520564e-11,True,0.00552380758805282,5.572209360593661e-13,6.062366622139326e-05,True,True,True
chatgpt_easy,singlerotz,10.0,52.54237288135595,3.8955492178568465e-12,0.6105428473233737,0.5585482827076131,0.3219379385885419,1.830908132392718e-10,True,0.026564420863741,3.729905273530676e-12,1.8560283159718693e-05,True,True,True
chatgpt_easy,rot,1.0,44.06666666666666,2.6980184512036645e-10,0.7469035581273208,0.8960857366407258,0.9140631717456131,1.1601479340175757e-08,True,2.7821884778234107e-06,7.552697356416616e-10,0.3304736924174051,True,True,False
chatgpt_easy,rot,10.0,36.82352941176469,1.0089559043324062e-08,0.7752364542557753,0.8949307479592931,0.885353767328256,3.6322412555966625e-07,True,2.525955917764833e-07,1.0195964673664903e-06,0.963917002022931,True,True,False
chatgpt_easy,rotcnot,1.0,23.5126050420168,7.839758552051485e-06,0.7323574970779332,0.7227409919593325,0.5869741130741463,0.0002038337223533386,True,0.8935843561818355,3.381890554232658e-05,0.00024279612504052306,False,True,True
chatgpt_easy,rotcnot,10.0,17.728813559321978,0.00014133087581387312,0.989567621920563,1.0,0.991553544494721,0.003533271895346828,True,0.015218527311326668,0.8633471077407798,0.061685740827336466,True,False,False
chatgpt_easy,svmrbf,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_easy,svmlinear,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_easy,svmpoly,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_easy,logistic,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_easy,randomforest,,,,,1.0,0.996078431372549,,False,,,,False,False,False
chatgpt_easy,knn,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_easy,mlp,,,,,0.9003829540779182,0.8113111998972192,,False,,,,False,False,False
chatgpt_medium,singlerotx,1.0,10.638655462184886,0.0048960440773180664,0.6866532928171423,0.7381249664292591,0.7242854119741132,0.11260901377831553,False,,,,False,False,False
chatgpt_medium,singlerotx,10.0,3.914529914529911,0.1412442020453006,0.6515263387274179,0.7075702777431846,0.6831334874479076,1.0,False,,,,False,False,False
chatgpt_medium,singleroty,1.0,33.43103448275862,5.502285231461991e-08,0.8215112520339979,0.8736562056381729,0.9108622274084569,1.760731274067837e-06,True,0.022157184972564026,4.028872269135064e-08,0.006822390643260512,True,True,True
chatgpt_medium,singleroty,10.0,26.457627118644055,1.7980396689794846e-06,0.8032688253492514,0.8222616787231932,0.8855392617546407,4.854707106244608e-05,True,0.6786466010089627,5.323434315029907e-06,0.00024279612504052306,False,True,True
chatgpt_medium,singlerotz,1.0,34.983050847457605,2.5323692328835826e-08,0.4734569895796581,0.3344231109867179,0.27869682170885385,8.356818468515823e-07,True,1.0021352860545285e-05,1.7640470240110062e-07,0.7186498647517556,True,True,False
chatgpt_medium,singlerotz,10.0,41.60000000000002,9.261360220567669e-10,0.4612030498261545,0.3184898484746652,0.24272830070204315,3.611930486021391e-08,True,1.0021352860545285e-05,1.7285269882094667e-09,0.2680233283417641,True,True,False
chatgpt_medium,rot,1.0,36.53448275862068,1.1658370940293445e-08,0.8191419709882463,0.874548829354326,0.912105296396207,4.080429829102706e-07,True,0.015218527311326668,8.621451108581368e-09,0.004453622522561429,True,True,True
chatgpt_medium,rot,10.0,35.815126050420155,1.670491206390223e-08,0.811977557200112,0.8546384552254209,0.8916919654178558,5.679670101726759e-07,True,0.0004109597142438748,1.2753614941907188e-08,0.09707419272096529,True,True,False
chatgpt_medium,rotcnot,1.0,58.06666666666666,2.4602743683859483e-13,0.8495703615619185,0.7595955850811814,0.6484702672218253,1.2055344405091147e-11,True,0.00018547441757943428,7.80486786311485e-14,0.0008774116047646219,True,True,True
chatgpt_medium,rotcnot,10.0,16.520547945205497,0.0002585881354517272,0.9842573542237408,0.9993197278911565,0.9904979940694226,0.006206115250841453,True,0.00552380758805282,0.5969877052260311,0.0838223604459426,True,False,False
chatgpt_medium,svmrbf,,,,,1.0,0.9979591836734694,,False,,,,False,False,False
chatgpt_medium,svmlinear,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,svmpoly,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,logistic,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,randomforest,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,knn,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,mlp,,,,,0.902614064867997,0.8215969318909101,,False,,,,False,False,False
chatgpt_hard,singlerotx,1.0,32.82352941176472,7.45523177845935e-08,0.748250544993303,0.7843280877611876,0.9003548768716776,2.236569533537805e-06,True,0.1284931263605068,5.863612717593725e-08,0.0006842211769886308,False,True,True
chatgpt_hard,singlerotx,10.0,38.94117647058824,3.499701228801994e-09,0.7039581211942336,0.7728618119457321,0.8848457177176154,1.2948894546567377e-07,True,0.07206403640821568,2.5990042340495734e-09,0.00024279612504052306,False,True,True
chatgpt_hard,singleroty,1.0,42.36974789915965,6.302692861219857e-10,0.8043449642008265,0.8321940478976476,0.8870412142684444,2.521077144487943e-08,True,0.21352631448198245,1.1449187153900198e-09,1.3665968065845746e-05,False,True,True
chatgpt_hard,singleroty,10.0,33.12605042016809,6.408694178444741e-08,0.7896133538294684,0.7849003830889038,0.8821537752846266,1.98669519531787e-06,True,0.8303222995093141,1.0021352860545285e-05,5.116334343968632e-07,False,True,True
chatgpt_hard,singlerotz,1.0,60.0,9.357622968840163e-14,0.66197239350979,0.5336889896921179,0.21359099995802946,4.772387714108483e-12,True,0.0003165295583411609,2.8310687127941492e-14,0.0003165295583411609,True,True,True
chatgpt_hard,singlerotz,10.0,60.0,9.357622968840163e-14,0.6575326113722572,0.5292361963266649,0.19160776201136806,4.772387714108483e-12,True,0.0003165295583411609,2.8310687127941492e-14,0.0003165295583411609,True,True,True
chatgpt_hard,rot,1.0,41.56302521008401,9.43417113465544e-10,0.8084530915616602,0.8330157297618827,0.8879566849499249,3.611930486021391e-08,True,0.33047369241740554,2.5990042340495734e-09,7.318857338844964e-06,False,True,True
chatgpt_hard,rot,10.0,46.666666666666686,7.35295806145377e-11,0.7975327397302298,0.821151029839895,0.9209281483987374,3.2353015470396586e-09,True,0.4002312999983191,3.2466929145158474e-10,7.237300281293102e-07,False,True,True
chatgpt_hard,rotcnot,1.0,51.88235294117646,5.418638828947006e-12,0.7138388569439649,0.8643917021297555,0.771801640444505,2.492573861315623e-10,True,2.333244708552229e-12,0.0028588933234720004,0.0003165295583411609,True,True,True
chatgpt_hard,rotcnot,10.0,43.43820224719097,3.694147484298014e-10,0.99406429238362,0.9986928104575163,0.9779271844199702,1.551541943405166e-08,True,0.29828161019377986,0.00018547441757943428,1.2269541815879137e-07,False,True,True
chatgpt_hard,svmrbf,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,svmlinear,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,svmpoly,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,logistic,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,randomforest,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,knn,,,,,1.0,0.9615384615384612,,False,,,,False,False,False
chatgpt_hard,mlp,,,,,0.9239550484133028,0.9109152827614646,,False,,,,False,False,False
